Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
h2database,org.h2.util,Utils10,byteArrayOutputStreamToString,3,1,2,22
h2database,org.h2.util,Utils10,getTcpQuickack,3,1,1,36
h2database,org.h2.util,Utils10,setTcpQuickack,9,1,2,51
h2database,org.h2.util,Utils10,Utils10,2,1,0,69
h2database,org.h2.util,Bits,compareNotNull,3,1,2,61
h2database,org.h2.util,Bits,compareNotNullSigned,3,1,2,77
h2database,org.h2.util,Bits,compareNotNullUnsigned,3,1,2,97
h2database,org.h2.util,Bits,readInt,3,1,2,117
h2database,org.h2.util,Bits,readIntLE,3,1,2,131
h2database,org.h2.util,Bits,readLong,3,1,2,145
h2database,org.h2.util,Bits,readLongLE,3,1,2,159
h2database,org.h2.util,Bits,readDouble,3,1,2,173
h2database,org.h2.util,Bits,readDoubleLE,3,1,2,187
h2database,org.h2.util,Bits,uuidToBytes,6,1,2,201
h2database,org.h2.util,Bits,uuidToBytes,3,1,1,217
h2database,org.h2.util,Bits,writeInt,3,1,3,228
h2database,org.h2.util,Bits,writeIntLE,3,1,3,243
h2database,org.h2.util,Bits,writeLong,3,1,3,258
h2database,org.h2.util,Bits,writeLongLE,3,1,3,273
h2database,org.h2.util,Bits,writeDouble,3,1,3,288
h2database,org.h2.util,Bits,writeDoubleLE,3,1,3,303
h2database,org.h2.util,Bits,Bits,2,1,0,318
h2database,org.h2.util,AbbaDetector,begin,31,8,1,34
h2database,org.h2.util,AbbaDetector,getTest,3,1,1,76
h2database,org.h2.util,AbbaDetector,getObjectName,3,1,1,81
h2database,org.h2.util,AbbaDetector,markHigher,35,9,2,85
h2database,org.h2.util,AbbaLockingDetector,startCollecting,6,1,0,40
h2database,org.h2.util,AbbaLockingDetector,reset,4,1,0,52
h2database,org.h2.util,AbbaLockingDetector,stopCollecting,12,2,0,60
h2database,org.h2.util,AbbaLockingDetector,run,10,2,0,78
h2database,org.h2.util,AbbaLockingDetector,tick,11,2,0,89
h2database,org.h2.util,AbbaLockingDetector,processThreadList,10,3,1,106
h2database,org.h2.util,AbbaLockingDetector,generateOrdering,13,4,2,117
h2database,org.h2.util,AbbaLockingDetector,markHigher,31,8,2,138
h2database,org.h2.util,AbbaLockingDetector,getStackTraceForThread,23,6,1,174
h2database,org.h2.util,AbbaLockingDetector,buildString,17,5,1,212
h2database,org.h2.util,AbbaLockingDetector,dumpStackTraceElement,18,5,4,242
h2database,org.h2.util,AbbaLockingDetector,getObjectName,3,1,1,269
h2database,org.h2.util,Bits,compareNotNull,14,4,2,23
h2database,org.h2.util,Bits,compareNotNullSigned,14,4,2,50
h2database,org.h2.util,Bits,compareNotNullUnsigned,14,4,2,81
h2database,org.h2.util,Bits,readInt,3,1,2,112
h2database,org.h2.util,Bits,readIntLE,3,1,2,126
h2database,org.h2.util,Bits,readLong,3,1,2,140
h2database,org.h2.util,Bits,readLongLE,3,1,2,154
h2database,org.h2.util,Bits,readDouble,3,1,2,168
h2database,org.h2.util,Bits,readDoubleLE,3,1,2,182
h2database,org.h2.util,Bits,uuidToBytes,8,2,2,196
h2database,org.h2.util,Bits,uuidToBytes,3,1,1,214
h2database,org.h2.util,Bits,writeInt,6,1,3,225
h2database,org.h2.util,Bits,writeIntLE,6,1,3,243
h2database,org.h2.util,Bits,writeLong,4,1,3,261
h2database,org.h2.util,Bits,writeLongLE,4,1,3,277
h2database,org.h2.util,Bits,writeDouble,3,1,3,293
h2database,org.h2.util,Bits,writeDoubleLE,3,1,3,308
h2database,org.h2.util,Bits,Bits,2,1,0,323
h2database,org.h2.util,ByteStack,ByteStack,3,1,0,23
h2database,org.h2.util,ByteStack,push,9,2,1,30
h2database,org.h2.util,ByteStack,pop,8,2,0,46
h2database,org.h2.util,ByteStack,poll,8,2,1,62
