Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
h2database,org.h2.util,Utils10,0,0,4,3,41,4,0,0,-1.0,16,0,C:\Users\AVuser\IdeaProjects\h2database\h2\src\java10\src\org\h2\util\Utils10.java,15
h2database,org.h2.util,Bits,6,0,18,17,186,18,0,0,0.5555555555555556,28,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\java9\src\org\h2\util\Bits.java,14
h2database,org.h2.util,AbbaDetector,5,0,4,1,89,19,0,0,0.0,1,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\AbbaDetector.java,15
h2database,org.h2.util,AbbaLockingDetector,6,0,12,4,189,40,0,0,0.0,2,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\AbbaLockingDetector.java,20
h2database,org.h2.util,Bits,0,0,18,17,205,28,0,0,-1.0,0,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\Bits.java,10
h2database,org.h2.util,ByteStack,3,0,8,7,91,15,0,0,0.0,3,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\ByteStack.java,11
h2database,org.h2.util,Cache,0,0,10,0,59,10,3,0,-1.0,4,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\Cache.java,10
h2database,org.h2.util,CacheHead,0,0,2,2,11,2,0,1,-1.0,0,0,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheHead.java,8
h2database,org.h2.util,CacheLRU,11,0,16,11,285,55,0,1,0.0,3,11,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheLRU.java,15
h2database,org.h2.util,CacheObject,5,3,8,8,54,9,1,0,0.625,7,2,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheObject.java,10
h2database,org.h2.util,CacheSecondLevel,2,0,11,10,55,13,0,1,0.0,1,2,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheSecondLevel.java,11
h2database,org.h2.util,CacheTQ,5,0,11,10,95,20,0,1,0.0,1,5,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheTQ.java,10
h2database,org.h2.util,CacheWriter,0,0,3,0,19,3,0,0,-1.0,2,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CacheWriter.java,10
h2database,org.h2.util,CloseWatcher,4,0,6,6,79,11,0,0,0.0,2,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\CloseWatcher.java,18
h2database,org.h2.util,DateTimeUtils,14,11,49,45,1006,151,0,0,0.1836734693877551,38,13,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\DateTimeUtils.java,23
h2database,org.h2.util,DbDriverActivator,1,0,2,2,27,2,0,0,1.0,0,3,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\DbDriverActivator.java,11
h2database,org.h2.util,DebuggingThreadLocal,1,0,4,4,26,4,0,0,0.0,1,0,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\DebuggingThreadLocal.java,11
h2database,org.h2.util,HasSQL,6,0,3,0,51,3,0,0,-1.0,19,0,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\HasSQL.java,8
h2database,org.h2.util,IntArray,3,0,13,13,133,26,0,0,0.15384615384615385,3,1,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\IntArray.java,10
h2database,org.h2.util,IntervalUtils,10,1,23,12,756,186,0,0,0.4782608695652174,12,6,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\IntervalUtils.java,20
h2database,org.h2.util,IOUtils,0,0,20,19,336,39,0,0,-1.0,67,5,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\IOUtils.java,29
h2database,org.h2.util,JdbcUtils,7,1,22,17,667,132,0,0,0.4090909090909091,37,19,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\JdbcUtils.java,48
h2database,org.h2.util,JSR310Utils,4,0,20,18,273,39,0,0,0.8,6,14,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\JSR310Utils.java,45
h2database,org.h2.util,LegacyDateTimeUtils,2,2,16,14,247,37,0,0,0.25,10,11,C:\Users\AVuser\IdeaProjects\h2database\h2\src\main\org\h2\util\LegacyDateTimeUtils.java,27
