Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
h2database,org.h2.util,Bits,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.util,ByteStack,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ValueBigDecimalBase; TypeInfo; ExtTypeInfoGeometry; EWKTUtils; EWKTSource; StringUtils; SysProperties; Utils; IOUtils; DataUtils; DbException; Value; ValueClob; FileStore; LobData; ValueLob; LobStorageInterface; LobStorageFrontend; SessionRemote; TraceSystem; Trace; ConnectionInfo; TimeZoneProvider; Simple; DateTimeUtils; ValueTimestamp; CompareMode; CompareModeIcu4J; JdbcUtils; NetworkConnectionInfo; NetUtils; CipherFactory; XTEA; JdbcConnection; Session; Mode; ResultInterface; JdbcStatement; JdbcResultSet; JdbcPreparedStatement; MergedResult; SimpleResult; Column; JdbcResultSetMetaData; TraceObject; DataType; ExtTypeInfoRow; ParserUtil; ValueNull; ValueBoolean; ValueTinyint; ValueSmallint; ValueInteger; ValueBigint; ValueNumeric; ValueReal; ValueDouble; ValueDate; ValueTime; ValueTimeTimeZone; ValueTimestampTimeZone; ValueUuid; ValueInterval; IntervalUtils; ValueToObjectConverter; Interval; JdbcLob; LobPipedOutputStream; ValueJavaObject; ValueVarchar; ValueVarbinary; ValueChar; JSR310Utils; ValueGeometry; EWKBUtils; EWKBSource; JTSUtils; GeometryTarget; GeometryUtils; LegacyDateTimeUtils; ValueArray; ValueRow; ParameterInterface; JdbcParameterMetaData; JdbcBlob; JdbcArray; UpdatableRow; JdbcClob; JdbcSQLXML; JdbcDatabaseMetaData; JdbcCallableStatement; JdbcSavepoint; SimpleResultSet; SimpleArray; CompareModeDefault; WithTimeZone; DbSettings; SortedProperties; TempFileDeleter; DynamicSettings; Transfer; ExtTypeInfoEnum; ValueEnum; ValueBlob; LobDataDatabase; ValueDecfloat; Data; ValueBinary; ValueEnumBase; ValueVarcharIgnoreCase; ValueJson; JSONBytesSource; JSONStringSource; JSONByteArrayTarget; ByteStack; Engine; Database; SessionLocal; Sequence; Schema; RightOwner; Role; Table; Column; Expression; ColumnResolver; ExpressionColumn; Constant; ValueExpression; TableFilter; TableFilterVisitor; Select; SelectGroups; Grouped; Plain; DataAnalysisOperation; Window; WindowFrame; WindowFrameBound; SortOrder; QueryOrderBy; BiReverseItr; BiItr; TriReverseItr; TriItr; PartitionData; ExpressionVisitor; AllColumnsForPlan; DbObject; Parser; Token; CreateView; Query; LocalResult; ResultExternal; Row; DefaultRow; SearchRow; MVTempResult; MVStore; FileStore; FreeSpaceBitSet; FilePathCache; CacheLongKeyLIRS; Segment; FileCache; Chunk; WriteBuffer; MVMap; DataType; DecisionMaker; CursorPos; Page; PageReference; NonLeaf; IncompleteNonLeaf; Leaf; RootReference; EqualsDecisionMaker; RewriteDecisionMaker; Cursor; MemoryEstimator; RemovedPageInfo; BackgroundWriterThread; Builder; StringDataType; MVStoreTool; GenericDataType; TransactionStore; RollbackListener; MetaType; StatefulDataType; Record; Transaction; TransactionMap; Snapshot; TxDecisionMaker; VersionedValueUncommitted; RepeatableIterator; TMIterator; ValidationIterator; UncommittedIterator; CommittedIterator; CommitDecisionMaker; VersionedValueType; Factory; TxMapBuilder; TMVMap; RollbackDecisionMaker; LongDataType; CloseImpl; MVSortedTempResult; ValueDataType; RowFactory; RowDataType; Factory; DefaultRowFactory; IndexColumn; SimpleRowValue; Sparse; Holder; NullValueDataType; MVPlainTempResult; Store; CreateTableData; MVTable; MVPrimaryIndex; MVStoreCursor; MVIndex; MVDelegateIndex; MVSpatialIndex; MVRTreeMap; SpatialDataType; IntersectsRTreeCursor; ContainsRTreeCursor; SpatialKey; RTreeCursor; SpatialKeyIterator; FindBoundsCursor; IndexCondition; Comparison; NullPredicate; ExpressionList; ConditionIn; ConditionInConstantSet; TypedValueExpression; MVSecondaryIndex; Source; Comparator; Index; ConstraintReferential; ConstraintUnique; Constraint; Prepared; Command; ResultWithPaddedStrings; Parameter; MVInDoubtTransaction; InDoubtTransaction; ResultTarget; TableView; CommandContainer; ResultWithGeneratedKeys; DataChangeStatement; GeneratedKeysCollector; CommandList; BackupCommand; FileLister; FileLock; Driver; Analyze; SelectivityData; Right; TransactionCommand; PrepareProcedure; Procedure; Update; SetClauseList; UpdateAction; RowExpression; SetSimple; SetMultiple; Insert; ConditionAndOr; ConditionNot; ConditionAndOrN; Condition; DataChangeDeltaTable; PlanItem; Delete; Merge; MergeUsing; When; CommandWithValues; TableValueConstructor; TableValueConstructorTable; TableValueColumnResolver; ArrayTableFunction; IndexHints; FunctionAlias; SourceCompiler; GroovyCompiler; JavaMethod; ValueToObjectConverter2; TruncateTable; SetComment; Comment; DropTable; SchemaAndTable; DropIndex; DropUser; User; DropSequence; DropConstant; DropTrigger; TriggerObject; DropView; DropRole; DropFunctionAlias; DropSchema; DropDatabase; DropSynonym; TableSynonym; CreateSynonymData; DropDomain; Domain; ConstraintDomain; DomainColumnResolver; CheckExistingData; AlterDomain; AlterTableAddConstraint; ConstraintCheck; AlterDomainAddConstraint; ColumnTemplate; DropAggregate; UserAggregate; AggregateWrapper; ExecuteProcedure; Call; TableFunction; UserDefinedFunction; DeallocateProcedure; Explain; SelectUnion; LazyResultUnion; ConcatenationOperation; ConcatFunction; JavaAggregate; Aggregate; AggregateData; AggregateDataCount; AggregateDataDefault; BitFunction; AggregateDataAvg; AggregateDataStdVar; AggregateDataDistinctWithCounts; AggregateDataCovar; AggregateDataCorr; AggregateDataCollecting; AggregateDataEnvelope; JsonConstructorUtils; JSONStringTarget; Percentile; JsonConstructorFunction; Subquery; Format; AbstractAggregate; FunctionsPostgreSQL; CurrentGeneralValueSpecification; PgServer; PgServerThread; Prepared; Portal; ScriptReader; Tool; ToDateParser; ToDateTokenizer; YearParslet; MonthParslet; ToCharFunction; DateTimeFunction; DayParslet; TimeParslet; InlineParslet; ToDateParslet; SimpleCase; SimpleWhen; ModeFunction; CompatibilityDateTimeValueFunction; CurrentDateTimeValueFunction; FunctionsLegacy; FunctionsDB2Derby; FunctionsMSSQLServer; StringFunction; CoalesceFunction; RandFunction; FunctionsMySQL; FunctionsOracle; DateTimeFormatFunction; SubstringFunction; WindowFunction; Wildcard; BinaryOperation; IntervalOperation; CompatibilityDatePlusTimeOperation; UnaryOperation; SetFunction; Variable; SearchedCase; Tokenizer; SequenceOptions; CreateIndex; GrantRevoke; CreateRole; CreateSchema; CreateSequence; CreateConstant; CreateAggregate; CreateDomain; CreateTrigger; CreateUser; CreateFunctionAlias; AlterIndexRename; AlterDomainDropConstraint; AlterDomainExpressions; AlterDomainRenameConstraint; AlterDomainRename; AlterTableRename; AlterView; AlterSchemaRename; AlterSequence; AlterUser; Set; Setting; AuthenticatorFactory; DefaultAuthenticator; CredentialsValidator; AuthenticationInfo; UserToRolesMapper; ConfigProperties; UserBuilder; TimeZoneOperation; RunScriptCommand; ScriptCommand; AlterTableRenameColumn; AlterTableAlterColumn; SchemaObject; TableBase; AlterTableDropConstraint; AlterTableRenameConstraint; AlterTableSet; CreateLinkedTable; TableLink; TableLinkConnection; LinkedIndex; LinkedCursor; CreateTable; CommandWithColumns; DefineCommand; CreateSynonym; RangeTable; RangeIndex; RangeCursor; SingleRowCursor; MathFunction; CastSpecification; StringFunction1; TrimFunction; MathFunction1; MathFunction2; DayMonthNameFunction; StringFunction2; LengthFunction; RegexpFunction; XMLFunction; ArrayFunction; CompressFunction; CompressTool; SoundexFunction; CryptFunction; HashFunction; SessionControlFunction; SysInfoFunction; TableInfoFunction; FileFunction; DBObjectFunction; QueryExpressionTable; QueryExpressionIndex; QueryExpressionCursor; CacheKey; BuiltinFunctions; LazyResultGroupSorted; LazyResultQueryFlat; LazyResultSelect; LazyResult; SelectListColumnResolver; Optimizer; Plan; Permutations; IndexCursor; MapColumnsVisitor; GeneratedColumnResolver; SequenceAndPrepared; TimeoutValue; RowNumberAndValue; DelayedDatabaseCloser; Server; WebServer; TranslateThread; WebThread; PageParser; WebSession; DbContents; DbSchema; DbTableOrView; DbColumn; DbProcedure; Bnf; Rule; Sentence; BnfVisitor; RuleHead; RuleFixed; Csv; RuleList; RuleElement; RuleOptional; RuleExtension; RuleRepeat; DbContextRule; Help; ConnectionInfo; TcpServer; TcpServerThread; SmallMap; GeneratedKeysMode; ParameterRemote; ResultColumn; DatabaseMetaServer; Authenticator; MetaRecord; TableEngine; Type; BlobReference; OnExitDatabaseCloser; DeleteDbFiles; DatabaseHolder; GeoJsonUtils; GeoJsonTarget; JSONValue; JSONObject; JSONArray; EWKTTarget
h2database,org.h2.util,CacheHead,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.util,CacheLRU,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CacheLRU; CacheTQ
h2database,org.h2.util,CacheObject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: cachePrevious; cacheNext; cacheChained; pos; changed
h2database,org.h2.util,DateTimeUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MILLIS_PER_DAY; SECONDS_PER_DAY; NANOS_PER_SECOND; NANOS_PER_MINUTE; NANOS_PER_HOUR; NANOS_PER_DAY; SHIFT_YEAR; SHIFT_MONTH; EPOCH_DATE_VALUE; MIN_DATE_VALUE; MAX_DATE_VALUE; NORMAL_DAYS_PER_MONTH; FRACTIONAL_SECONDS_TABLE; LOCAL
h2database,org.h2.util,DateTimeUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
h2database,org.h2.util,DbDriverActivator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
h2database,org.h2.util,IntervalUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NANOS_PER_SECOND_BI; NANOS_PER_MINUTE_BI; NANOS_PER_HOUR_BI; NANOS_PER_DAY_BI; MONTHS_PER_YEAR_BI; HOURS_PER_DAY_BI; MINUTES_PER_DAY_BI; MINUTES_PER_HOUR_BI; LEADING_MIN; LEADING_MAX
h2database,org.h2.util,IntervalUtils,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 186
