Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 16,201
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 8,201
h2database,org.h2.util,AbbaDetector,begin,Complex Method,Cyclomatic complexity of the method is 8,34
h2database,org.h2.util,AbbaDetector,begin,Magic Number,The method contains a magic number: 2,34
h2database,org.h2.util,AbbaDetector,begin,Magic Number,The method contains a magic number: 2,34
h2database,org.h2.util,AbbaDetector,markHigher,Complex Method,Cyclomatic complexity of the method is 9,85
h2database,org.h2.util,AbbaLockingDetector,stopCollecting,Empty catch clause,The method has an empty catch block.,60
h2database,org.h2.util,AbbaLockingDetector,tick,Empty catch clause,The method has an empty catch block.,89
h2database,org.h2.util,AbbaLockingDetector,markHigher,Complex Method,Cyclomatic complexity of the method is 8,138
h2database,org.h2.util,AbbaLockingDetector,markHigher,Long Statement,The length of the statement "System.out.println(topLock + " synchronized after \n " + olderLock+ "` but in the past before\n"+ "AFTER\n"+ getStackTraceForThread(threadInfo)+ "BEFORE\n"+ e);" is 160.,138
h2database,org.h2.util,AbbaLockingDetector,getStackTraceForThread,Complex Method,Cyclomatic complexity of the method is 10,174
h2database,org.h2.util,AbbaLockingDetector,getStackTraceForThread,Long Statement,The length of the statement "StringBuilder sb=new StringBuilder().append('"').append(info.getThreadName()).append("\"" + " Id=").append(info.getThreadId()).append(' ').append(info.getThreadState());" is 169.,174
h2database,org.h2.util,AbbaLockingDetector,dumpStackTraceElement,Missing default,The following switch statement is missing a default case: switch (ts) {,223
h2database,org.h2.util,Bits,compareNotNullUnsigned,Magic Number,The method contains a magic number: 0xff,81
h2database,org.h2.util,Bits,compareNotNullUnsigned,Magic Number,The method contains a magic number: 0xff,81
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 24,112
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 0xff,112
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 16,112
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 0xff,112
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 8,112
h2database,org.h2.util,Bits,readInt,Magic Number,The method contains a magic number: 0xff,112
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 0xff,126
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 0xff,126
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 8,126
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 0xff,126
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 16,126
h2database,org.h2.util,Bits,readIntLE,Magic Number,The method contains a magic number: 24,126
h2database,org.h2.util,Bits,readLong,Magic Number,The method contains a magic number: 32,140
h2database,org.h2.util,Bits,readLong,Magic Number,The method contains a magic number: 4,140
h2database,org.h2.util,Bits,readLong,Magic Number,The method contains a magic number: 0xffff_ffffL,140
h2database,org.h2.util,Bits,readLongLE,Magic Number,The method contains a magic number: 0xffff_ffffL,154
h2database,org.h2.util,Bits,readLongLE,Magic Number,The method contains a magic number: 4,154
h2database,org.h2.util,Bits,readLongLE,Magic Number,The method contains a magic number: 32,154
